table_name,column_name,database_type,base_type,comment,,
ANCHISTORY,ancno,numeric,type/Decimal,เลขที่การฝากครรภ์,,
ANCHISTORY,itemno,numeric,type/Decimal,เลขลำดับที่,,
ANCHISTORY,firsthist,numeric,type/Decimal,รหัสประวัติ First Visit,,
ANCHISTORY,firsthistrs,numeric,type/Decimal,รหัสผลของประวัติ First Visit,,
ANCHISTORY,firsthistdt,varchar,type/Text,รายละเอียด History Detail,,
ANCNO,year,numeric,type/Decimal,ปี,,
ANCNO,no,numeric,type/Decimal,เลขที่,,
ANCPLACE,ancplace,numeric,type/Decimal,รหัสสถานที่ที่ฝากครรภ์,,
ANCPLACE,ancplacenm,varchar,type/Text,ชื่อสถานที่ฝากครรภ์,,
ANCPLACE,var,varchar,type/Text,คำอ้างอิง,,
ANCPLACE,hcode,varchar,type/Text,รหัสของ รพ.จุฬา,,
ANCVST,hn,varchar,type/Text,เลขที่ผู้ป่วยนอก,,
ANCVST,vstdate,timestamp,type/DateTime,วันที่ส่งตรวจ,,
ANCVST,vsttime,numeric,type/Decimal,เวลาส่งตรวจ,,
ANCVST,cliniclct,numeric,type/Decimal,รหัสหน่วยงานห้องตรวจ,,
ANCVST,ancno,numeric,type/Decimal,เลขที่อ้างอิงฝากครรภ์,,
ANCVST,pregnant,numeric,type/Decimal,ครรภ์ที่,,
ANCVST,vsttype,numeric,type/Decimal,"1=FirstVisit,2=Followup",,
ANCVST,treatline,numeric,type/Decimal,สายการตรวจ (T.TREATLINE),,
ANCVST,an,varchar,type/Text,เลขที่ผู้ป่วยใน,,
ANCVST,vn,numeric,type/Decimal,VISIT NUMBER,,
ANCVST,gobstrc,numeric,type/Decimal,ประวัติทางสูติศาสตร์ G obstetrics,,
ANCVST,pobstrc,numeric,type/Decimal,ประวัติทางสูติศาสตร์ P obstetrics,,
ANCVST,para1,numeric,type/Decimal,Para ช่องที่ 1,,
ANCVST,para2,numeric,type/Decimal,Para ช่องที่ 2,,
ANCVST,para3,numeric,type/Decimal,Para ช่องที่ 3,,
ANCVST,para4,numeric,type/Decimal,Para ช่องที่ 4,,
ANCVST,lmp,timestamp,type/DateTime,ประวัติประจำเดือน LMP,,
ANCVST,lmpdt,varchar,type/Text,รายละเอียด LMP,,
ANCVST,lmpunknw,numeric,type/Decimal,"1=LMP,2=EDC,3=NA",,
ANCVST,edc,timestamp,type/DateTime,ประวัติประจำเดือน EDC,,
ANCVST,edcdt,varchar,type/Text,รายละเอียด EDC,,
ANCVST,edcby,numeric,type/Decimal,"1=by USG,2=by Embryo",,
ANCVST,mensintr,numeric,type/Decimal,Menstrual History Interval (days),,
ANCVST,mensdura,numeric,type/Decimal,Menstrual History Duration (days),,
ANCVST,histcntr,numeric,type/Decimal,"คุมกำเนิด (Contraceptives) 1=ไม่เคยคุม, 2=เคยคุม",,
ANCVST,cntroth,varchar,type/Text,คุมกำเนิด โดยใช้...,,
ANCVST,cntrstop,varchar,type/Text,หยุดคุมเมื่อ...,,
ANCVST,height,numeric,type/Decimal,ส่วนสูง,,
ANCVST,wtpreprgn,numeric,type/Decimal,น้ำหนักก่อนตั้งครรภ์ (Weight pre-pregnant),,
ANCVST,innerexam,varchar,type/Text,การตรวจภายใน,,
ANCVST,gdiag,numeric,type/Decimal,ค่า G,,
ANCVST,pdiag,numeric,type/Decimal,ค่า P,,
ANCVST,gstweek,numeric,type/Decimal,อายุครรภ์ (Gestational age)……Wks,,
ANCVST,gstday,numeric,type/Decimal,อายุครรภ์ (Gestational age)……Days,,
ANCVST,complict,numeric,type/Decimal,"โรคแทรกซ้อน (complication) 1=ไม่มี, 2=มี",,
ANCVST,treatment,varchar,type/Text,treatment,,
ANCVST,plan,numeric,type/Decimal,"แผนการรักษาและการส่งตรวจก่อนพบแพทย์ ครั้งต่อไป 1=ไม่มี, 2=มี",,
ANCVST,labnext,numeric,type/Decimal,Lab ก่อนพบแพทย์ครั้งต่อไป,,
ANCVST,laboth,numeric,type/Decimal,Lab อื่น ๆ (1=เลือก),,
ANCVST,labothdt,varchar,type/Text,รายละเอียด Lab อื่น,,
ANCVST,genericcon,numeric,type/Decimal,Generic consulting,,
ANCVST,consult,numeric,type/Decimal,Consult,,
ANCVST,consultdt,varchar,type/Text,Consult detail,,
ANCVST,consultrsn,varchar,type/Text,Consult result,,
ANCVST,consultoth,varchar,type/Text,Consult other,,
ANCVST,maternityat,varchar,type/Text,ต้องการคลอดที่ (Maternity At),,
ANCVST,oapp,numeric,type/Decimal,Appointment (1=ไม่นัด),,
ANCVST,oappno,numeric,type/Decimal,เลขที่นัดหมาย,,
