table_name,column_name,database_type,base_type,comment,is_pk,pk_confidence,pk_reason,is_fk,fk_targets,join_peers,join_dict,join_warning
ANCHISTORY,ancno,numeric,type/Decimal,เลขที่การฝากครรภ์,0,,,0,,,[],
ANCHISTORY,itemno,numeric,type/Decimal,เลขลำดับที่,0,,,0,,,[],
ANCHISTORY,firsthist,numeric,type/Decimal,รหัสประวัติ First Visit,0,,,0,,,[],
ANCHISTORY,firsthistrs,numeric,type/Decimal,รหัสผลของประวัติ First Visit,0,,,0,,,[],
ANCHISTORY,firsthistdt,varchar,type/Text,รายละเอียด History Detail,0,,,0,,,[],
ANCNO,year,numeric,type/Decimal,ปี,0,,,0,,,[],
ANCNO,no,numeric,type/Decimal,เลขที่,0,,,0,,,[],
ANCPLACE,ancplace,numeric,type/Decimal,รหัสสถานที่ที่ฝากครรภ์,1,high,target_of_table_match,0,,DLVST.ancplace; DLVSTEXT.ancplace,"[{""dir"": ""in"", ""from_table"": ""DLVST"", ""from_column"": ""ancplace"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}, {""dir"": ""in"", ""from_table"": ""DLVSTEXT"", ""from_column"": ""ancplace"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ANCPLACE,ancplacenm,varchar,type/Text,ชื่อสถานที่ฝากครรภ์,0,,,0,,,[],
ANCPLACE,var,varchar,type/Text,คำอ้างอิง,0,,,0,,,[],
ANCPLACE,hcode,varchar,type/Text,รหัสของ รพ.จุฬา,0,,,0,,,[],
ANCVST,hn,varchar,type/Text,เลขที่ผู้ป่วยนอก,0,,,1,PT.hn(high:universal),PT.hn,"[{""dir"": ""out"", ""to_table"": ""PT"", ""to_column"": ""hn"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}]",
ANCVST,vstdate,timestamp,type/DateTime,วันที่ส่งตรวจ,0,,,0,,,[],
ANCVST,vsttime,numeric,type/Decimal,เวลาส่งตรวจ,0,,,0,,,[],
ANCVST,cliniclct,numeric,type/Decimal,รหัสหน่วยงานห้องตรวจ,0,,,1,CLINICLCT.cliniclct(high:table match),CLINICLCT.cliniclct,"[{""dir"": ""out"", ""to_table"": ""CLINICLCT"", ""to_column"": ""cliniclct"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ANCVST,ancno,numeric,type/Decimal,เลขที่อ้างอิงฝากครรภ์,0,,,0,,,[],
ANCVST,pregnant,numeric,type/Decimal,ครรภ์ที่,0,,,0,,,[],
ANCVST,vsttype,numeric,type/Decimal,"1=FirstVisit,2=Followup",0,,,0,,,[],
ANCVST,treatline,numeric,type/Decimal,สายการตรวจ (T.TREATLINE),0,,,1,TREATLINE.treatline(high:table match),TREATLINE.treatline,"[{""dir"": ""out"", ""to_table"": ""TREATLINE"", ""to_column"": ""treatline"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ANCVST,an,varchar,type/Text,เลขที่ผู้ป่วยใน,0,,,1,IPT.an(high:universal),IPT.an,"[{""dir"": ""out"", ""to_table"": ""IPT"", ""to_column"": ""an"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}]",
ANCVST,vn,numeric,type/Decimal,VISIT NUMBER,0,,,1,IPT.vn(high:universal); OVST.vn(heuristic:heuristic_home),IPT.vn; OVST.vn,"[{""dir"": ""out"", ""to_table"": ""IPT"", ""to_column"": ""vn"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}, {""dir"": ""out"", ""to_table"": ""OVST"", ""to_column"": ""vn"", ""confidence"": ""heuristic"", ""type"": ""heuristic_home"", ""source"": ""heuristic""}]",
ANCVST,gobstrc,numeric,type/Decimal,ประวัติทางสูติศาสตร์ G obstetrics,0,,,0,,,[],
ANCVST,pobstrc,numeric,type/Decimal,ประวัติทางสูติศาสตร์ P obstetrics,0,,,0,,,[],
ANCVST,para1,numeric,type/Decimal,Para ช่องที่ 1,0,,,0,,,[],
ANCVST,para2,numeric,type/Decimal,Para ช่องที่ 2,0,,,0,,,[],
ANCVST,para3,numeric,type/Decimal,Para ช่องที่ 3,0,,,0,,,[],
ANCVST,para4,numeric,type/Decimal,Para ช่องที่ 4,0,,,0,,,[],
ANCVST,lmp,timestamp,type/DateTime,ประวัติประจำเดือน LMP,0,,,0,,,[],
ANCVST,lmpdt,varchar,type/Text,รายละเอียด LMP,0,,,0,,,[],
ANCVST,lmpunknw,numeric,type/Decimal,"1=LMP,2=EDC,3=NA",0,,,0,,,[],
ANCVST,edc,timestamp,type/DateTime,ประวัติประจำเดือน EDC,0,,,0,,,[],
ANCVST,edcdt,varchar,type/Text,รายละเอียด EDC,0,,,0,,,[],
ANCVST,edcby,numeric,type/Decimal,"1=by USG,2=by Embryo",0,,,0,,,[],
ANCVST,mensintr,numeric,type/Decimal,Menstrual History Interval (days),0,,,0,,,[],
ANCVST,mensdura,numeric,type/Decimal,Menstrual History Duration (days),0,,,0,,,[],
ANCVST,histcntr,numeric,type/Decimal,"คุมกำเนิด (Contraceptives) 1=ไม่เคยคุม, 2=เคยคุม",0,,,0,,,[],
ANCVST,cntroth,varchar,type/Text,คุมกำเนิด โดยใช้...,0,,,0,,,[],
ANCVST,cntrstop,varchar,type/Text,หยุดคุมเมื่อ...,0,,,0,,,[],
ANCVST,height,numeric,type/Decimal,ส่วนสูง,0,,,0,,,[],
ANCVST,wtpreprgn,numeric,type/Decimal,น้ำหนักก่อนตั้งครรภ์ (Weight pre-pregnant),0,,,0,,,[],
ANCVST,innerexam,varchar,type/Text,การตรวจภายใน,0,,,0,,,[],
ANCVST,gdiag,numeric,type/Decimal,ค่า G,0,,,0,,,[],
ANCVST,pdiag,numeric,type/Decimal,ค่า P,0,,,0,,,[],
ANCVST,gstweek,numeric,type/Decimal,อายุครรภ์ (Gestational age)……Wks,0,,,0,,,[],
ANCVST,gstday,numeric,type/Decimal,อายุครรภ์ (Gestational age)……Days,0,,,0,,,[],
ANCVST,complict,numeric,type/Decimal,"โรคแทรกซ้อน (complication) 1=ไม่มี, 2=มี",0,,,0,,,[],
ANCVST,treatment,varchar,type/Text,treatment,0,,,0,,,[],
ANCVST,plan,numeric,type/Decimal,"แผนการรักษาและการส่งตรวจก่อนพบแพทย์ ครั้งต่อไป 1=ไม่มี, 2=มี",0,,,0,,,[],
ANCVST,labnext,numeric,type/Decimal,Lab ก่อนพบแพทย์ครั้งต่อไป,0,,,0,,,[],
ANCVST,laboth,numeric,type/Decimal,Lab อื่น ๆ (1=เลือก),0,,,0,,,[],
ANCVST,labothdt,varchar,type/Text,รายละเอียด Lab อื่น,0,,,0,,,[],
ANCVST,genericcon,numeric,type/Decimal,Generic consulting,0,,,0,,,[],
ANCVST,consult,numeric,type/Decimal,Consult,0,,,0,,,[],
ANCVST,consultdt,varchar,type/Text,Consult detail,0,,,0,,,[],
ANCVST,consultrsn,varchar,type/Text,Consult result,0,,,0,,,[],
ANCVST,consultoth,varchar,type/Text,Consult other,0,,,0,,,[],
ANCVST,maternityat,varchar,type/Text,ต้องการคลอดที่ (Maternity At),0,,,0,,,[],
ANCVST,oapp,numeric,type/Decimal,Appointment (1=ไม่นัด),0,,,0,,,[],
ANCVST,oappno,numeric,type/Decimal,เลขที่นัดหมาย,0,,,0,,,[],
ANCVST,nextdate,timestamp,type/DateTime,วันที่นัดหมาย,0,,,0,,,[],
ANCVST,nexttime,numeric,type/Decimal,เวลาที่นัดหมาย,0,,,0,,,[],
ANCVST,dct1,numeric,type/Decimal,แพทย์1,0,,,0,,,[],
ANCVST,dct2,numeric,type/Decimal,แพทย์2,0,,,0,,,[],
ANCVST,albumin,numeric,type/Decimal,Urine : Albumin,0,,,0,,,[],
ANCVST,sugar,numeric,type/Decimal,Urine : Sugar,0,,,0,,,[],
ANCVST,negsymp,numeric,type/Decimal,"อาการผิดปกติ 1=ไม่มี, 2=มี",0,,,0,,,[],
ANCVST,negsympdt,varchar,type/Text,ระบุ อาการผิดปกติ,0,,,0,,,[],
ANCVST,babyflex,numeric,type/Decimal,"เด็กดิ้น 1=ยังไม่ดิ้น, 2=ปกติ, 3=น้อยกว่าปกติ",0,,,0,,,[],
ANCVST,suggess,numeric,type/Decimal,"Suggess 1=ไม่มี, 2=มี",0,,,0,,,[],
ANCVST,suggessdt,varchar,type/Text,Suggess detail,0,,,0,,,[],
ANCVST,bmi,numeric,type/Decimal,ค่า BMI,0,,,0,,,[],
ANCVST,investdt,varchar,type/Text,ผล Investigations,0,,,0,,,[],
ANCVST,investplan,varchar,type/Text,แผน Investigations,0,,,0,,,[],
ANCVST,usggawk,numeric,type/Decimal,by USG GA weeks,0,,,0,,,[],
ANCVST,usggaday,numeric,type/Decimal,by USG GA days,0,,,0,,,[],
ANCVST,embydate,timestamp,type/DateTime,by Embryo date,0,,,0,,,[],
ANCVST,embyage,numeric,type/Decimal,by Embryo age,0,,,0,,,[],
ANCVST,physclexm,numeric,type/Decimal,"ตรวจร่างกายอื่นๆ:1=ปกติ,2=ผิดปกติ",0,,,0,,,[],
ANCVST,physcldt,varchar,type/Text,ตรวจร่างกายอื่นๆระบุ,0,,,0,,,[],
ANCVST,fndlna,numeric,type/Decimal,Fundal height;1=NA,0,,,0,,,[],
ANCVST,fndlsize,numeric,type/Decimal,Fundal height Size,0,,,0,,,[],
ANCVST,fndltape,numeric,type/Decimal,Fundal height Tape,0,,,0,,,[],
ANCVST,ftlhna,numeric,type/Decimal,Fetal heart sound;1=NA,0,,,0,,,[],
ANCVST,ftlhbpm,numeric,type/Decimal,Fetal heart sound BPM,0,,,0,,,[],
ANCVST,note,varchar,type/Text,Note อื่นๆ ของแพทย์,0,,,0,,,[],
ANCVST,ftlhbpm2,numeric,type/Decimal,,0,,,0,,,[],
ANCVST,ftlhbpm3,numeric,type/Decimal,,0,,,0,,,[],
ANCVST,weight,numeric,type/Decimal,,0,,,0,,,[],
ANCVST,lbpn,numeric,type/Decimal,,0,,,0,,,[],
ANCVST,hbpn,numeric,type/Decimal,,0,,,0,,,[],
ANCVST,notifyhiv,numeric,type/Decimal,,0,,,0,,,[],
ANCVST,notifyst,numeric,type/Decimal,,0,,,0,,,[],
ARPT,arno,numeric,type/Decimal,เลขที่แจ้งหนี้,1,medium,target_of_within_family,0,,ARPTINC.arno,"[{""dir"": ""in"", ""from_table"": ""ARPTINC"", ""from_column"": ""arno"", ""confidence"": ""medium"", ""type"": ""ARPT"", ""source"": ""relationships.md""}]",
ARPT,hn,varchar,type/Text,เลขที่ผู้ป่วยนอก,0,,,1,PT.hn(high:universal),PT.hn,"[{""dir"": ""out"", ""to_table"": ""PT"", ""to_column"": ""hn"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}]",
ARPT,an,varchar,type/Text,เลขที่ผู้ป่วยใน,0,,,1,IPT.an(high:universal),IPT.an,"[{""dir"": ""out"", ""to_table"": ""IPT"", ""to_column"": ""an"", ""confidence"": ""high"", ""type"": ""universal"", ""source"": ""relationships.md""}]",
ARPT,pttype,numeric,type/Decimal,ประเภทสิทธิการรักษา,0,,,1,PTTYPE.pttype(high:table match),PTTYPE.pttype,"[{""dir"": ""out"", ""to_table"": ""PTTYPE"", ""to_column"": ""pttype"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPT,pttypest,numeric,type/Decimal,สถานะการอนุมัติสิทธิ,0,,,0,,,[],
ARPT,pttypeext,varchar,type/Text,รายละเอียดสิทธิการรักษา,0,,,1,PTTYPEEXT.pttypeext(high:table match),PTTYPEEXT.pttypeext,"[{""dir"": ""out"", ""to_table"": ""PTTYPEEXT"", ""to_column"": ""pttypeext"", ""confidence"": ""high"", ""type"": ""table match"", ""source"": ""relationships.md""}]",
ARPT,prvno,numeric,type/Decimal,ลำดับการอนุมัติสิทธิการรักษา,0,,,0,,,[],
ARPT,projtype,numeric,type/Decimal,โครงการ,0,,,0,,,[],
ARPT,argrp,numeric,type/Decimal,รหัสกลุ่มผู้ป่วย,0,,,0,,,[],
ARPT,arcode,numeric,type/Decimal,เชื่อมโยงรหัสบัญชี,0,,,0,,,[],
ARPT,invno,numeric,type/Decimal,เลขที่ใบเรียกเก็บเงิน,0,,,0,,,[],
ARPT,dbtno,numeric,type/Decimal,เลขที่การลงลูกหนี้ค่ารักษาพยาบาล,0,,,0,,,[],
